case_id,version,trial,decision_correct,totals_correct,lines_complete,trigger_correct,record_correct,api_rounds,tool_turns,tool_calls,tool_errors,repeated_calls,tool_return_characters,tool_return_tokens,input_tokens,output_tokens,total_tokens,estimated_cost_usd,seconds,error
CLM-8901,V1,2,True,True,True,True,True,7,6,6,0,0,845,281,15915,330,16245,0.001723,4.453,
CLM-8901,V2,2,True,True,True,True,True,6,5,5,0,0,796,265,13625,330,13955,0.001494,3.847,
CLM-8901,V1,3,True,True,True,True,True,7,6,6,0,0,845,281,15915,335,16250,0.001726,4.318,
CLM-8901,V2,3,True,True,True,True,True,6,5,6,0,0,880,286,13776,422,14198,0.001546,4.628,
CLM-8910,V1,1,False,True,True,True,False,8,7,7,0,0,1284,409,19063,697,19760,0.002185,8.731,
CLM-8910,V2,1,False,False,True,False,False,8,7,7,0,0,1208,386,19266,474,19740,0.002116,5.491,
CLM-8910,V1,2,False,False,True,False,False,6,5,6,0,0,1199,380,13792,434,14226,0.001553,5.081,
CLM-8910,V2,2,False,False,True,False,False,8,7,7,0,0,1208,386,19266,474,19740,0.002116,4.927,
CLM-8910,V1,3,False,False,True,False,False,6,5,6,0,0,1199,380,13789,488,14277,0.001574,6.782,
CLM-8910,V2,3,False,False,True,False,False,8,7,7,0,0,1208,386,19228,653,19881,0.002184,7.375,
CLM-8917,V1,1,False,False,True,False,False,6,5,5,0,0,795,263,13361,292,13653,0.001453,4.208,
CLM-8917,V2,1,False,False,True,False,False,6,5,5,0,0,773,257,13615,337,13952,0.001496,4.831,
CLM-8917,V1,2,False,False,True,False,False,6,5,5,0,0,795,263,13363,336,13699,0.001471,4.812,
CLM-8917,V2,2,False,False,True,False,False,6,5,5,0,0,773,257,13615,470,14085,0.00155,5.881,
CLM-8917,V1,3,False,False,True,False,False,6,5,5,0,0,795,263,13361,283,13644,0.001449,2.779,
CLM-8917,V2,3,False,False,True,False,False,6,5,5,0,0,773,257,13615,473,14088,0.001551,3.961,
CLM-8925,V1,1,False,True,True,False,False,7,6,6,0,0,1332,445,16624,424,17048,0.001832,4.455,
CLM-8925,V2,1,False,True,True,False,False,8,7,7,0,0,1384,463,19791,447,20238,0.002158,4.663,
CLM-8925,V1,2,False,True,True,False,False,7,6,6,0,0,1332,445,16624,457,17081,0.001845,4.284,
CLM-8925,V2,2,False,False,True,False,False,8,7,7,0,0,1368,435,19560,711,20271,0.00224,6.805,
CLM-8925,V1,3,False,True,True,False,False,7,6,6,0,0,1332,445,16624,460,17084,0.001846,4.077,
CLM-8925,V2,3,False,True,True,False,False,7,6,6,0,0,1311,439,16914,427,17341,0.001862,4.019,
CLM-8933,V1,1,False,False,True,False,False,7,6,6,0,0,1034,338,16274,457,16731,0.00181,4.811,
CLM-8933,V2,1,False,False,True,False,False,6,5,5,0,0,980,319,13902,350,14252,0.00153,3.723,
CLM-8933,V1,2,False,False,True,False,False,5,4,5,0,0,1006,329,11292,301,11593,0.00125,2.687,
CLM-8933,V2,2,False,False,True,False,False,6,5,6,0,0,1064,340,14050,440,14490,0.001581,3.785,
CLM-8933,V1,3,False,False,True,False,False,5,4,5,0,0,1006,329,11292,297,11589,0.001248,3.071,
CLM-8933,V2,3,False,False,True,False,False,6,5,5,0,0,980,319,13902,485,14387,0.001584,4.247,
CLM-8941,V1,1,False,False,True,True,False,5,4,4,0,0,855,271,11094,255,11349,0.001211,2.676,
CLM-8941,V2,1,True,True,True,True,True,6,5,5,0,0,910,287,13835,289,14124,0.001499,3.428,
CLM-8941,V1,2,False,False,True,True,False,5,4,4,0,0,855,271,11096,315,11411,0.001236,3.291,
CLM-8941,V2,2,True,True,True,True,True,6,5,5,0,0,910,287,13835,289,14124,0.001499,3.273,
CLM-8941,V1,3,False,False,True,False,False,6,5,5,0,0,939,292,13726,483,14209,0.001566,4.599,
CLM-8941,V2,3,True,True,True,True,True,6,5,5,0,0,910,287,13835,289,14124,0.001499,3.257,
CLM-8952,V1,1,False,True,True,False,False,6,5,5,0,0,948,310,13678,363,14041,0.001513,4.112,
CLM-8952,V2,1,True,True,True,True,True,6,5,5,0,0,926,299,13909,362,14271,0.001536,3.364,
CLM-8952,V1,2,False,True,True,False,False,6,5,5,0,0,948,310,13678,337,14015,0.001503,3.15,
CLM-8952,V2,2,True,True,True,True,True,6,5,5,0,0,926,299,13905,286,14191,0.001505,2.813,
CLM-8952,V1,3,False,True,True,False,False,6,5,5,0,0,948,310,13678,357,14035,0.001511,3.065,
CLM-8952,V2,3,True,True,True,True,True,6,5,5,0,0,926,299,13909,367,14276,0.001538,3.06,
CLM-8960,V1,1,False,False,False,False,False,9,8,8,0,0,1481,469,21877,586,22463,0.002422,6.224,"JSONDecodeError: Expecting ',' delimiter: line 5 column 25 (char 211)"
CLM-8960,V2,1,True,False,True,True,False,9,8,8,0,0,1388,442,22172,785,22957,0.002531,7.301,
CLM-8971,V1,1,True,True,True,True,True,6,5,5,0,0,852,281,13449,285,13734,0.001459,2.92,
CLM-8971,V2,1,True,True,True,True,True,6,5,5,0,0,830,275,13701,279,13980,0.001482,3.078,
CLM-9001,V1,1,True,True,True,True,True,6,5,5,0,0,851,276,13424,281,13705,0.001455,3.727,
CLM-9001,V2,1,True,True,True,True,True,6,5,5,0,0,829,270,13676,272,13948,0.001476,3.838,
CLM-9002,V1,1,True,True,True,True,True,6,5,5,0,0,841,269,13390,342,13732,0.001476,3.738,
CLM-9002,V2,1,True,True,True,True,True,6,5,5,0,0,813,262,13640,344,13984,0.001502,3.979,
CLM-9003,V1,1,True,True,True,True,True,7,6,6,0,0,865,280,15944,343,16287,0.001732,4.045,
CLM-9003,V2,1,True,True,True,True,True,6,5,5,0,0,815,264,13646,278,13924,0.001476,3.151,
CLM-9004,V1,1,True,True,True,True,True,6,5,5,0,0,911,292,13504,286,13790,0.001465,3.212,
CLM-9004,V2,1,True,True,True,True,True,6,5,5,0,0,889,286,13756,272,14028,0.001484,2.729,
CLM-9005,V1,1,False,False,True,True,False,6,5,5,0,0,941,299,13770,532,14302,0.00159,5.161,
CLM-9005,V2,1,False,False,True,True,False,6,5,5,0,0,927,298,13882,287,14169,0.001503,3.681,
CLM-9006,V1,1,False,False,True,True,False,7,6,6,0,0,947,304,16166,380,16546,0.001769,3.328,
CLM-9006,V2,1,False,False,True,True,False,6,5,5,0,0,841,272,13724,287,14011,0.001487,2.468,
CLM-9007,V1,1,False,False,True,True,False,7,6,6,0,0,1158,365,16611,584,17195,0.001895,4.794,
CLM-9007,V2,1,True,False,True,True,False,7,6,6,0,0,1115,356,16631,567,17198,0.00189,4.671,
CLM-9008,V1,1,True,True,True,True,True,7,6,6,0,0,987,319,16188,331,16519,0.001751,3.583,
CLM-9008,V2,1,True,True,True,True,True,6,5,5,0,0,937,303,13844,340,14184,0.00152,2.969,
CLM-9009,V1,1,True,True,True,True,True,7,6,6,0,0,1314,438,16498,343,16841,0.001787,3.096,
CLM-9009,V2,1,True,True,True,True,True,7,6,6,0,0,1293,432,16788,344,17132,0.001816,3.03,
CLM-9010,V1,1,True,True,True,True,True,7,6,6,0,0,1301,440,16504,331,16835,0.001783,3.884,
CLM-9010,V2,1,True,True,True,True,True,7,6,6,0,0,1282,432,16788,338,17126,0.001814,3.484,
CLM-9011,V1,1,True,True,True,True,True,7,6,6,0,0,1283,429,16385,377,16762,0.001789,3.885,
CLM-9011,V2,1,True,False,True,True,False,7,6,6,0,0,1262,423,16675,375,17050,0.001817,4.125,
CLM-9012,V1,1,True,True,True,True,True,7,6,6,0,0,881,286,15960,325,16285,0.001726,3.576,
CLM-9012,V2,1,True,True,True,True,True,6,5,5,0,0,832,270,13660,270,13930,0.001474,3.313,
CLM-9013,V1,1,True,True,True,True,True,6,5,5,0,0,944,303,13581,329,13910,0.00149,3.297,
CLM-9013,V2,1,True,True,True,True,True,6,5,5,0,0,922,297,13814,337,14151,0.001516,3.732,
CLM-9014,V1,1,True,True,True,True,True,6,5,5,0,0,969,309,13587,425,14012,0.001529,3.497,
CLM-9014,V2,1,True,True,True,True,True,6,5,5,0,0,941,302,13837,333,14170,0.001517,2.604,
CLM-9015,V1,1,True,True,True,True,True,6,5,5,0,0,858,272,13408,330,13738,0.001473,3.486,
CLM-9015,V2,1,True,True,True,True,True,6,5,5,0,0,836,266,13660,326,13986,0.001496,3.31,
CLM-9016,V1,1,False,False,True,True,False,6,5,5,0,0,1059,339,13760,344,14104,0.001514,3.291,
CLM-9016,V2,1,True,False,True,True,False,6,5,5,0,0,1019,324,13989,444,14433,0.001576,3.786,
CLM-9017,V1,1,True,False,True,True,False,6,5,5,0,0,1110,351,13794,358,14152,0.001523,3.248,
CLM-9017,V2,1,False,False,True,True,False,6,5,5,0,0,1066,333,14012,324,14336,0.001531,3.262,
CLM-9018,V1,1,True,True,True,True,True,6,5,5,0,0,956,308,13585,328,13913,0.00149,2.982,
CLM-9018,V2,1,True,True,True,True,True,6,5,5,0,0,934,302,13837,521,14358,0.001592,4.621,
CLM-9019,V1,1,False,False,True,True,False,6,5,5,0,0,860,283,13538,305,13843,0.001476,3.611,
CLM-9019,V2,1,False,False,True,True,False,6,5,5,0,0,853,276,13744,297,14041,0.001493,3.234,
CLM-9020,V1,1,True,True,True,True,True,7,6,6,0,0,1025,329,16214,348,16562,0.001761,4.199,
CLM-9020,V2,1,True,True,True,True,True,6,5,5,0,0,971,310,13859,335,14194,0.00152,4.361,
CLM-9021,V1,1,True,True,True,True,True,7,6,6,0,0,1028,333,16244,394,16638,0.001782,3.355,
CLM-9021,V2,1,True,True,True,True,True,6,5,5,0,0,974,314,13877,333,14210,0.001521,3.663,
CLM-9022,V1,1,True,True,True,True,True,7,6,6,0,0,1023,333,16238,349,16587,0.001763,3.057,
CLM-9022,V2,1,True,True,True,True,True,6,5,5,0,0,969,314,13879,338,14217,0.001523,3.107,
CLM-9023,V1,1,True,True,True,True,True,7,6,6,0,0,1042,334,16242,349,16591,0.001764,3.113,
CLM-9023,V2,1,True,True,True,True,True,6,5,5,0,0,988,315,13882,332,14214,0.001521,2.739,
CLM-9024,V1,1,True,True,True,True,True,7,6,6,0,0,1042,332,16232,348,16580,0.001762,3.352,
CLM-9024,V2,1,True,True,True,True,True,6,5,5,0,0,988,313,13874,340,14214,0.001523,2.627,
CLM-9025,V1,1,False,False,True,False,False,6,5,5,0,0,877,286,13472,273,13745,0.001456,2.571,
CLM-9025,V2,1,False,False,True,False,False,6,5,5,0,0,855,280,13726,323,14049,0.001502,2.672,
CLM-9025,V1,2,False,False,True,False,False,7,6,6,0,0,905,295,16039,336,16375,0.001738,2.991,
CLM-9025,V2,2,False,False,True,False,False,6,5,5,0,0,855,280,13726,344,14070,0.00151,2.721,
CLM-9025,V1,3,False,False,True,False,False,7,6,6,0,0,905,295,16039,336,16375,0.001738,3.018,
CLM-9025,V2,3,False,False,True,False,False,6,5,5,0,0,855,280,13726,469,14195,0.00156,3.495,
